nome,telefone,email,endere�o
gustavo,999999,gg@gg,ggdwshh.huisdf
maria,98751,gg@teste@teste.com.br,ggdwshh.huisdf
joao,912345,joao@teste.com,rua abc, 123
ana,934567,ana@teste.com,av xyz, 456
carlos,956789,carlos@teste.com,travessa lm, 789
fernanda,978123,fernanda@teste.com,rua beta, 321
julia,982345,julia@teste.com,av delta, 654
lucas,993567,lucas@teste.com,travessa gamma, 98 7
mariana,911223,mariana@teste.com,rua omega, 111
pedro,922334,pedro@teste.com,av theta, 222
beatriz,933445,beatriz@teste.com,rua sigma, 333
roberto,944556,roberto@teste.com,travessa tau, 444
lara,955667,lara@teste.com,av alpha, 555
eduardo,966778,eduardo@teste.com,rua beta, 666
sophia,977889,sophia@teste.com,travessa delta, 777
bruno,988990,bruno@teste.com,av gamma, 888
leticia,999101,leticia@teste.com,rua epsilon, 999
rafael,911212,rafael@teste.com,travessa zeta, 121
carolina,922323,carolina@teste.com,av eta, 232
gabriel,933434,gabriel@teste.com,rua iota, 343
patricia,944545,patricia@teste.com,travessa kappa, 454
tiago,955656,tiago@teste.com,av lambda, 565
